order_id,order_line_number,customer_id,product_id,order_timestamp,quantity,unit_price,discount_amount,tax_amount
ORD-1001,1,CUST-0077,PROD-0023,2024-05-04 20:36:00,3,114.15,51.37,23.29
ORD-1002,1,CUST-0085,PROD-0001,2025-01-15 09:32:00,1,774.52,116.18,52.67
ORD-1002,2,CUST-0085,PROD-0027,2025-01-15 09:32:00,2,335.03,100.51,45.56
ORD-1002,3,CUST-0085,PROD-0032,2025-01-15 09:32:00,3,677.2,101.58,154.4
ORD-1003,1,CUST-0056,PROD-0040,2024-06-30 19:33:00,2,332.56,99.77,45.23
ORD-1003,2,CUST-0056,PROD-0035,2024-06-30 19:33:00,3,392.23,117.67,84.72
ORD-1003,3,CUST-0056,PROD-0031,2024-06-30 19:33:00,2,1187.64,118.76,180.52
ORD-1004,1,CUST-0012,PROD-0037,2024-10-13 15:15:00,2,1054.11,0.0,168.66
ORD-1004,2,CUST-0012,PROD-0040,2024-10-13 15:15:00,2,332.56,66.51,47.89
ORD-1004,3,CUST-0012,PROD-0043,2024-10-13 15:15:00,1,491.29,73.69,33.41
ORD-1004,4,CUST-0012,PROD-0025,2024-10-13 15:15:00,1,770.11,77.01,55.45
ORD-1005,1,CUST-0034,PROD-0036,2024-12-15 12:56:00,1,268.96,0.0,21.52
ORD-1005,2,CUST-0034,PROD-0001,2024-12-15 12:56:00,1,774.52,116.18,52.67
ORD-1005,3,CUST-0034,PROD-0034,2024-12-15 12:56:00,2,290.28,29.03,44.12
ORD-1006,1,CUST-0089,PROD-0029,2025-05-03 18:45:00,1,221.94,33.29,15.09
ORD-1006,2,CUST-0089,PROD-0002,2025-05-03 18:45:00,3,344.53,51.68,78.55
ORD-1006,3,CUST-0089,PROD-0006,2025-05-03 18:45:00,2,277.99,55.6,40.03
ORD-1006,4,CUST-0089,PROD-0019,2025-05-03 18:45:00,2,998.7,199.74,143.81
ORD-1007,1,CUST-0055,PROD-0018,2025-07-18 13:22:00,1,466.67,23.33,35.47
ORD-1007,2,CUST-0055,PROD-0020,2025-07-18 13:22:00,2,1036.81,0.0,165.89
ORD-1007,3,CUST-0055,PROD-0017,2025-07-18 13:22:00,3,652.75,97.91,148.83
ORD-1007,4,CUST-0055,PROD-0015,2025-07-18 13:22:00,1,1020.04,51.0,77.52
ORD-1008,1,CUST-0095,PROD-0007,2025-05-11 12:46:00,1,51.31,5.13,3.69
ORD-1008,2,CUST-0095,PROD-0013,2025-05-11 12:46:00,1,1149.51,114.95,82.76
ORD-1008,3,CUST-0095,PROD-0019,2025-05-11 12:46:00,1,998.7,49.94,75.9
ORD-1009,1,CUST-0036,PROD-0045,2024-02-17 08:35:00,2,127.27,0.0,20.36
ORD-1009,2,CUST-0036,PROD-0009,2024-02-17 08:35:00,1,280.12,28.01,20.17
ORD-1009,3,CUST-0036,PROD-0041,2024-02-17 08:35:00,2,682.41,204.72,92.81
ORD-1010,1,CUST-0057,PROD-0031,2024-12-15 10:03:00,2,1187.64,356.29,161.52
ORD-1010,2,CUST-0057,PROD-0008,2024-12-15 10:03:00,1,786.86,0.0,62.95
ORD-1010,3,CUST-0057,PROD-0005,2024-12-15 10:03:00,1,517.87,25.89,39.36
ORD-1011,1,CUST-0073,PROD-0036,2024-11-08 09:15:00,2,268.96,26.9,40.88
ORD-1012,1,CUST-0100,PROD-0020,2025-06-20 14:28:00,3,1036.81,0.0,248.83
ORD-1012,2,CUST-0100,PROD-0038,2025-06-20 14:28:00,3,793.42,0.0,190.42
ORD-1012,3,CUST-0100,PROD-0028,2025-06-20 14:28:00,1,784.68,39.23,59.64
ORD-1012,4,CUST-0100,PROD-0037,2025-06-20 14:28:00,2,1054.11,0.0,168.66
ORD-1013,1,CUST-0021,PROD-0011,2024-09-03 10:35:00,1,970.87,145.63,66.02
ORD-1014,1,CUST-0058,PROD-0003,2025-12-07 17:30:00,3,889.04,266.71,192.03
ORD-1014,2,CUST-0058,PROD-0015,2025-12-07 17:30:00,3,1020.04,459.02,208.09
ORD-1014,3,CUST-0058,PROD-0019,2025-12-07 17:30:00,1,998.7,49.94,75.9
ORD-1015,1,CUST-0034,PROD-0028,2025-10-03 17:42:00,3,784.68,117.7,178.91
ORD-1015,2,CUST-0034,PROD-0008,2025-10-03 17:42:00,3,786.86,118.03,179.4
ORD-1016,1,CUST-0035,PROD-0020,2024-05-26 09:03:00,3,1036.81,311.04,223.95
ORD-1016,2,CUST-0035,PROD-0039,2024-05-26 09:03:00,2,1099.17,0.0,175.87
ORD-1017,1,CUST-0060,PROD-0018,2025-12-07 12:44:00,2,466.67,0.0,74.67
ORD-1017,2,CUST-0060,PROD-0033,2025-12-07 12:44:00,3,1014.57,0.0,243.5
ORD-1017,3,CUST-0060,PROD-0035,2025-12-07 12:44:00,2,392.23,78.45,56.48
ORD-1017,4,CUST-0060,PROD-0032,2025-12-07 12:44:00,3,677.2,203.16,146.28
ORD-1018,1,CUST-0004,PROD-0044,2024-04-04 11:43:00,2,1197.09,0.0,191.53
ORD-1019,1,CUST-0098,PROD-0018,2024-06-29 15:33:00,3,466.67,210.0,95.2
ORD-1019,2,CUST-0098,PROD-0012,2024-06-29 15:33:00,1,421.5,63.22,28.66
ORD-1019,3,CUST-0098,PROD-0038,2024-06-29 15:33:00,2,793.42,238.03,107.9
ORD-1019,4,CUST-0098,PROD-0028,2024-06-29 15:33:00,2,784.68,156.94,112.99
ORD-1020,1,CUST-0086,PROD-0045,2024-04-18 10:21:00,2,127.27,0.0,20.36
ORD-1020,2,CUST-0086,PROD-0032,2024-04-18 10:21:00,2,677.2,0.0,108.35
ORD-1020,3,CUST-0086,PROD-0019,2024-04-18 10:21:00,2,998.7,199.74,143.81
ORD-1020,4,CUST-0086,PROD-0043,2024-04-18 10:21:00,2,491.29,0.0,78.61
ORD-1021,1,CUST-0099,PROD-0043,2025-02-18 16:52:00,3,491.29,221.08,100.22
ORD-1022,1,CUST-0053,PROD-0040,2024-02-26 11:33:00,2,332.56,0.0,53.21
ORD-1022,2,CUST-0053,PROD-0032,2024-02-26 11:33:00,1,677.2,67.72,48.76
ORD-1022,3,CUST-0053,PROD-0041,2024-02-26 11:33:00,3,682.41,102.36,155.59
ORD-1023,1,CUST-0037,PROD-0002,2025-03-25 19:31:00,3,344.53,51.68,78.55
ORD-1024,1,CUST-0091,PROD-0036,2024-06-12 12:35:00,2,268.96,0.0,43.03
ORD-1025,1,CUST-0029,PROD-0032,2024-04-27 15:07:00,2,677.2,135.44,97.52
ORD-1025,2,CUST-0029,PROD-0046,2024-04-27 15:07:00,2,149.39,44.82,20.32
ORD-1026,1,CUST-0061,PROD-0025,2024-09-07 15:35:00,3,770.11,115.52,175.58
ORD-1026,2,CUST-0061,PROD-0013,2024-09-07 15:35:00,1,1149.51,114.95,82.76
ORD-1027,1,CUST-0099,PROD-0001,2025-03-01 13:59:00,2,774.52,232.36,105.33
ORD-1027,2,CUST-0099,PROD-0019,2025-03-01 13:59:00,1,998.7,149.81,67.91
ORD-1027,3,CUST-0099,PROD-0047,2025-03-01 13:59:00,3,954.65,429.59,194.75
ORD-1028,1,CUST-0045,PROD-0030,2024-12-07 16:48:00,1,212.81,31.92,14.47
ORD-1028,2,CUST-0045,PROD-0021,2024-12-07 16:48:00,1,851.39,127.71,57.89
ORD-1028,3,CUST-0045,PROD-0013,2024-12-07 16:48:00,1,1149.51,114.95,82.76
ORD-1028,4,CUST-0045,PROD-0045,2024-12-07 16:48:00,3,127.27,57.27,25.96
ORD-1029,1,CUST-0091,PROD-0032,2025-01-26 14:42:00,1,677.2,67.72,48.76
ORD-1029,2,CUST-0091,PROD-0003,2025-01-26 14:42:00,1,889.04,133.36,60.45
ORD-1030,1,CUST-0013,PROD-0027,2025-06-23 15:00:00,1,335.03,0.0,26.8
ORD-1030,2,CUST-0013,PROD-0042,2025-06-23 15:00:00,2,709.81,141.96,102.21
ORD-1031,1,CUST-0044,PROD-0022,2025-10-01 19:25:00,3,288.92,130.01,58.94
ORD-1032,1,CUST-0041,PROD-0035,2025-10-04 19:56:00,1,392.23,39.22,28.24
ORD-1032,2,CUST-0041,PROD-0003,2025-10-04 19:56:00,1,889.04,0.0,71.12
ORD-1032,3,CUST-0041,PROD-0040,2025-10-04 19:56:00,2,332.56,0.0,53.21
ORD-1032,4,CUST-0041,PROD-0005,2025-10-04 19:56:00,3,517.87,0.0,124.29
ORD-1033,1,CUST-0057,PROD-0003,2024-06-20 19:19:00,2,889.04,0.0,142.25
